RHA_Year,Agricultural_use,Aquacultural_use,Availability,DBO5_contaminated,Domestic_use,DQO_contaminated,Industrial_use,Livestock_use,Multiple_use,PIB,Population_density,Public_urban_use,Rainfall,Runoff,Services_use,SST_contaminated,Temperature,Water_stress,Water_stress_lagged
Río Bravo_2007,14879.41,13.31,12024,2.9,4.82,9.5,378.23,54.62,433.5,14.797083333333335,27.3986015777072,2359.57,682.25,6857,28.44,9.5,21.26224275536315,76.44,76.33
Río Bravo_2008,14961.61,13.38,11937,4.4,4.9,16.4,380.68,54.85,440.43,14.797083333333335,27.768568794180922,2360.13,720.0,6857,29.17,1.6,21.28536682752766,77.36,76.44
Río Bravo_2009,14964.5,13.38,12163,2.6,4.97,7.5,381.71,54.67,440.44,14.92,28.14094355086569,2360.13,477.75,6857,43.18,0.0,21.788041576208478,76.0,77.36
Río Bravo_2010,15071.41,55.97,13022,1.2,5.02,3.2,377.47,54.39,454.73,14.375,29.15395451285729,2351.37,826.0,6857,43.38,2.2,20.846219942664106,71.56,76.0
Río Bravo_2011,15083.52,55.97,12757,0.0,4.95,0.0,379.03,54.41,451.8,13.83,29.920679233685075,2351.34,352.75,6857,47.24,1.1,22.148665847174453,73.1,71.56
Río Bravo_2012,15187.42,55.98,12757,2.8,5.11,14.0,382.2,53.61,454.88,14.02,30.337414199364815,2378.09,521.25,6857,53.61,1.3,22.279166666666665,73.66,73.1
Río Bravo_2013,14585.35,55.98,12757,1.7,5.15,16.7,379.36,53.28,454.72,14.32,30.736963425878496,2490.3,727.5,6857,44.83,9.5,21.601937011359805,71.69,73.66
Río Bravo_2014,15312.77,55.98,12316,2.5,5.16,23.4,385.43,53.3,455.85,14.29,31.10839053375679,2490.36,638.0,6416,45.02,4.7,21.397916666666667,77.24,71.69
Río Bravo_2015,15328.74,55.98,12352,1.4,5.2,16.2,389.32,53.61,456.99,14.83,31.510065567052557,2490.24,682.5,6416,44.93,4.7,21.45,77.1,77.24
Río Bravo_2016,15339.63,55.98,12430,4.4,5.2,19.4,400.07,54.37,461.86,15.03,31.899677287163204,2490.5,606.75,6495,45.08,3.9,22.320833333333333,76.73,77.1
Río Bravo_2017,15578.0,55.98,12844,5.6000000000000005,5.22,22.400000000000002,397.13,54.69,467.82,15.27,32.28283475053785,2532.13,512.5,6495,46.05,4.0,22.56875,75.36,76.73
Río Bravo_2018,15764.73,54.66,12844,7.7,5.19,18.2,394.68,54.84,472.39,14.797083333333335,32.6675545538367,2533.43,537.75,6495,50.35,1.1,21.872916666666665,76.11,75.36
Río Bravo_2019,15509.86,54.66,12844,9.0,5.62,19.0,383.4,55.87,472.32,14.797083333333335,33.02832701567463,2603.06,452.5,6495,52.34,3.4,22.25,75.36,76.11
