RHA_Year,Agricultural_use,Aquacultural_use,Availability,DBO5_contaminated,Domestic_use,DQO_contaminated,Industrial_use,Livestock_use,Multiple_use,PIB,Population_density,Public_urban_use,Rainfall,Runoff,Services_use,SST_contaminated,Temperature,Water_stress,Water_stress_lagged
Golfo Centro_2018,5712.07,198.88,94363,10.200000000000001,3.31,34.5,2099.44,19.69,1645.53,5.272083333333334,105.58033882408114,1671.55,1327.0,89764,288.72,1.2,21.616666666666664,6.61,6.43
Golfo Centro_2019,6056.69,198.54,94363,15.1,1.15,34.599999999999994,2104.43,21.15,1651.86,5.272083333333334,106.33536549621901,1674.57,1079.3333333333333,89764,294.67,2.8,22.166666666666668,6.8,6.61
Golfo Norte_2006,6475.6,93.75,25619,2.6,6.95,4.0,277.37,35.45,564.62,6.6,38.76616508216332,943.97,865.8,24227,645.13,0.0,21.63293182231801,17.91,19.53
Golfo Norte_2007,6506.98,95.85,25500,7.3,7.06,10.0,275.13,35.84,622.21,3.3404166666666666,38.877620726562995,1042.26,1052.2,24227,645.24,6.6000000000000005,21.32321768915533,18.36,17.91
Golfo Norte_2008,6576.99,99.56,25543,2.4,6.93,7.3,276.24,36.28,662.92,3.3404166666666666,38.99605710508091,1046.33,1088.4,24227,656.17,5.8,20.888852102257072,18.58,18.36
Golfo Norte_2009,6709.89,110.5,25564,2.4,6.94,11.100000000000001,275.16,36.43,730.41,2.05,39.10397122709816,1050.05,865.8,24227,656.52,5.2,21.474330669680448,18.99,18.58
Golfo Norte_2010,6666.71,85.57,26604,4.7,6.31,5.3,274.34,36.4,750.16,2.23,39.497229742491974,1040.76,1163.6,24740,664.72,0.0,20.580333203199064,18.15,18.99
Golfo Norte_2011,6832.5,89.22,28115,2.3,6.33,10.6,273.37,36.77,800.08,2.41,40.09902883586224,1990.15,831.2,24146,664.98,8.8,21.406034583577004,19.25,18.15
Golfo Norte_2012,7097.54,96.73,28115,5.1,6.35,31.099999999999998,276.21,36.94,953.22,2.43,40.45090662972989,1995.48,927.8,24146,665.52,2.5999999999999996,21.435833333333335,20.03,19.25
Golfo Norte_2013,7285.59,119.43,28115,3.3,6.3,23.5,279.31,38.01,858.4,2.21,40.81653340049109,1997.82,1079.2,24146,665.19,7.9,21.68622897619508,20.55,20.03
Golfo Norte_2014,7490.45,119.97,28085,2.4,6.3,23.200000000000003,278.0,38.05,1039.97,2.24,41.190895926462254,2028.87,965.6,24016,660.88,3.6999999999999997,21.168333333333337,21.0,20.55
Golfo Norte_2015,7166.8,133.95,28124,4.4,6.25,20.7,271.03,38.42,1062.22,2.31,41.557884215828246,2009.53,922.6,24016,661.15,2.3,21.46,20.42,21.0
Golfo Norte_2016,7588.32,133.83,28663,6.0,6.3,17.8,271.1,37.15,1069.71,2.29,41.93702386199081,2009.67,882.0,24555,661.71,1.6,22.026666666666667,20.78,20.42
Golfo Norte_2017,7740.11,133.72,28655,5.0,6.31,17.9,274.27,36.85,1096.7,2.28,42.31868192406976,2016.07,852.4,24555,671.32,2.3,22.21666666666667,21.13,20.78
Golfo Norte_2018,7868.96,133.83,28655,5.6,6.34,18.8,282.53,36.51,1097.33,3.3404166666666666,42.69524019391803,2019.44,791.6,24555,671.2,1.7000000000000002,21.891666666666666,21.38,21.13
Golfo Norte_2019,8214.09,133.83,28655,10.7,6.34,30.2,283.49,36.78,1099.54,3.3404166666666666,43.070334634514886,2026.95,603.6,24555,671.26,2.9,22.720000000000002,22.0,21.38
Lerma Santiago Pacífico_2006,20643.55,588.03,34003,20.200000000000003,28.89,60.4,572.1,66.29,1277.02,14.14,106.09468560932328,3905.5,811.875,26437,192.0,10.8,20.598878795780386,40.19,36.03
Lerma Santiago Pacífico_2007,20880.31,595.51,34037,15.5,30.92,53.5,577.77,68.21,1343.05,17.73541666666667,107.0374944220172,3974.0,802.25,26351,218.32,12.8,20.29235499537164,40.76,40.19
Lerma Santiago Pacífico_2008,21230.65,607.14,34160,21.0,33.37,55.099999999999994,573.96,72.08,1426.87,17.73541666666667,107.94771743755253,4081.71,853.5,26431,240.48,9.8,20.07752746693416,41.46,40.76
Lerma Santiago Pacífico_2009,21573.29,618.99,34533,18.0,34.26,52.0,574.96,72.93,1516.46,18.5,108.86120941044612,4208.03,732.75,26431,308.74,11.1,20.2794381352588,41.93,41.46
Lerma Santiago Pacífico_2010,21604.18,621.21,34348,18.2,32.77,46.7,554.89,73.52,1590.52,18.295,116.71620261309036,4236.87,935.875,26005,335.92,4.1,19.415551616304157,42.36,41.93
Lerma Santiago Pacífico_2011,21755.78,624.46,35754,17.6,32.8,41.8,557.79,75.24,1624.02,18.09,119.22951193947759,4256.27,674.625,26005,369.79,6.7,20.023270844569232,41.04,42.36
Lerma Santiago Pacífico_2012,22213.37,633.95,35754,20.7,32.7,52.6,567.66,80.03,1732.41,18.19,120.86066977304097,4330.97,694.5,26005,408.79,6.2,19.969375,42.08,41.04
Lerma Santiago Pacífico_2013,22219.65,632.1,35754,12.7,32.71,71.3,579.07,79.94,1785.79,18.24,122.45618040493562,4177.3,1027.0,26005,426.5,16.2,20.400215618566513,41.99,42.08
Lerma Santiago Pacífico_2014,22627.88,636.55,35093,10.0,32.8,72.5,564.24,79.09,1855.72,19.08,123.95595728562384,4245.48,964.125,25423,450.01,8.7,20.338541666666668,43.57,41.99
Lerma Santiago Pacífico_2015,22684.37,657.81,35080,10.9,32.75,57.5,663.56,82.73,1875.79,19.9,125.44717261132615,4891.58,1102.75,25423,468.42,10.1,20.599999999999998,44.82,43.57
Lerma Santiago Pacífico_2016,22770.58,657.81,34897,12.0,30.45,49.3,663.16,83.01,1901.39,19.75,126.89158476977201,5026.19,862.0,25241,480.53,5.699999999999999,20.689583333333335,45.42,44.82
Lerma Santiago Pacífico_2017,22714.32,657.18,35071,14.899999999999999,30.46,53.8,676.34,84.37,1912.41,20.0,128.24322080509748,5041.47,902.375,25241,483.1,5.6,20.68125,45.18,45.42
Lerma Santiago Pacífico_2018,22680.88,657.17,35071,13.0,30.54,52.2,688.15,85.6,1924.83,17.73541666666667,129.6133290439078,5361.14,1061.375,25241,484.39,3.0,20.664583333333333,45.63,45.18
Lerma Santiago Pacífico_2019,22740.5,657.62,35071,16.4,29.05,54.8,737.02,97.87,1933.17,17.73541666666667,130.9188364587333,5373.56,882.25,25241,492.49,10.3,21.174999999999997,45.84,45.63
Noroeste_2006,11388.06,3.1,7944,50.0,1.14,57.1,118.02,51.28,333.85,2.86,12.98565651009036,1933.79,483.0,5074,4.36,21.4,20.46742376812022,87.08,80.45
Noroeste_2007,11433.31,17.8,8204,35.7,1.15,50.0,136.86,52.43,1530.71,2.895,13.091363344641055,1952.3,470.5,5074,20.97,8.6,20.29489989421774,92.31,87.08
Noroeste_2008,11425.82,20.48,8323,10.0,1.13,21.5,130.46,53.21,1554.01,2.895,13.215014822285381,1966.15,504.0,5074,52.3,14.299999999999999,20.11689105905418,91.42,92.31
Noroeste_2009,11444.93,20.48,8499,0.0,1.12,14.6,130.04,53.03,1562.34,2.52,13.320074773590864,2126.79,457.0,5074,52.27,8.1,20.351268281021746,90.63,91.42
Noroeste_2010,10834.47,20.4,8231,5.2,1.02,15.6,129.5,53.27,1563.49,2.675,13.2632611065269,1847.81,461.5,5073,52.24,4.7,19.958047064514744,88.18,90.63
Noroeste_2011,10806.69,20.4,8325,8.3,1.02,7.6,136.36,53.47,1572.2,2.83,13.678697676313886,1879.79,310.5,5073,52.27,1.9,20.43259177718332,87.31,88.18
Noroeste_2012,10895.04,20.54,8325,1.4,0.98,11.3,177.65,55.5,1597.74,2.86,13.880183979707223,1159.11,427.0,5073,56.37,4.3,20.86875,83.95,87.31
Noroeste_2013,9530.81,20.34,8325,2.7,0.97,44.7,194.29,55.78,452.43,2.96,14.083014985279585,1149.94,532.5,5073,47.3,10.9,20.37004148190256,75.88,83.95
Noroeste_2014,10290.6,20.24,8273,2.7,0.92,43.9,202.88,53.2,1620.44,2.86,14.279596181860782,1161.01,485.5,5066,46.74,8.6,21.079166666666666,81.16,75.88
Noroeste_2015,10307.62,20.34,8273,1.2,0.88,11.9,175.4,54.8,1660.1,2.91,14.470844411845604,1162.03,637.5,5066,46.42,6.4,20.9,81.35,81.16
Noroeste_2016,10331.17,20.34,8274,3.2,0.86,21.099999999999998,190.42,55.83,1654.76,3.41,14.66394670089545,1162.87,468.5,5068,47.12,9.799999999999999,21.108333333333327,81.56,81.35
Noroeste_2017,10852.9,20.3,8274,5.4,0.86,27.4,190.21,55.25,1652.43,3.39,14.855194930880272,1163.98,452.5,5068,45.93,9.2,21.416666666666664,84.69,81.56
Noroeste_2018,10870.07,21.34,8274,6.4,0.86,20.3,216.34,59.04,1648.34,2.895,15.040753644448522,1163.68,528.5,5068,46.39,6.6,21.06666666666667,84.96,84.69
Noroeste_2019,10515.05,21.34,8274,14.299999999999999,0.85,24.5,219.17,60.05,1646.77,2.895,15.225502480568034,1161.52,559.5,5068,46.43,9.2,20.65,82.81,84.96
Pacífico Norte_2006,18546.4,623.87,25681,4.8,0.64,22.299999999999997,111.38,13.41,155.0,3.0,26.03578124691626,1101.05,730.75,22487,9.63,3.3,22.06593139596888,40.04,41.24
Pacífico Norte_2007,18555.39,624.27,25627,2.4,0.61,37.5,111.54,13.57,154.32,2.8920833333333325,26.053300176965536,1281.21,655.0,22364,10.27,4.9,21.734590366913988,40.49,40.04
Pacífico Norte_2008,18608.36,642.64,25627,2.5,0.6,31.3,102.09,14.37,216.58,2.8920833333333325,26.053300176965536,1278.0,870.5,22364,13.65,0.0,21.307827779992415,40.74,40.49
Pacífico Norte_2009,18553.43,642.64,25630,0.0,0.6,35.3,100.67,15.04,216.15,2.72,26.04830040721809,1277.94,733.0,22364,13.91,4.9,21.87324057822655,40.62,40.74
Pacífico Norte_2010,18487.49,642.77,25917,0.0,0.6,23.5,100.08,14.9,213.45,2.7,27.62007670699376,1279.47,818.75,22650,12.48,0.0,21.131893801660837,40.04,40.62
Pacífico Norte_2011,18526.11,642.77,25939,2.4,0.59,20.0,100.13,14.21,211.09,2.68,28.530922918023514,1279.39,557.75,22650,13.02,2.4,21.710636299161006,40.07,40.04
Pacífico Norte_2012,18665.88,643.27,25939,1.0,0.6,12.5,99.81,14.28,200.14,2.72,28.82004118231397,1281.54,658.75,22650,13.87,1.1,21.977083333333333,40.33,40.07
Pacífico Norte_2013,18190.57,643.92,25939,0.5,0.59,38.6,100.71,13.95,207.16,2.81,29.105146473517664,1284.54,797.75,22650,13.79,10.899999999999999,21.812637425408912,39.43,40.33
Pacífico Norte_2014,19193.6,643.92,25596,1.0,0.46,31.6,104.94,14.18,205.63,2.88,29.386909813363857,1285.14,789.0,22519,13.5,6.199999999999999,22.26875,41.93,39.43
Pacífico Norte_2015,19233.56,644.62,25596,0.9,0.46,11.2,103.82,14.4,208.4,3.01,29.666489043267745,1319.52,937.5,22519,13.66,8.700000000000001,22.225,42.08,41.93
Pacífico Norte_2016,19284.24,647.81,26613,2.6,0.46,11.2,106.18,14.51,216.0,3.08,29.943127619122805,1322.5,744.25,23537,14.23,4.5,22.50208333333333,40.59,42.08
Pacífico Norte_2017,19282.82,657.06,26747,3.2,0.46,17.0,107.4,14.56,217.66,2.97,30.217930753189,1325.45,709.0,23537,14.74,4.7,22.666666666666664,40.42,40.59
Pacífico Norte_2018,19293.11,659.33,26747,2.7,0.45,15.600000000000001,107.59,14.73,227.37,2.8920833333333325,30.48492503634701,1325.51,842.25,23537,15.04,3.8,22.543749999999996,40.46,40.42
Pacífico Norte_2019,19088.61,659.79,26747,4.6,0.47,19.8,107.59,14.86,208.71,2.8920833333333325,30.7459393317413,1325.93,763.0,23537,15.93,7.8,22.525,40.05,40.46
Pacífico Sur_2006,1909.72,0.8,32496,0.0,1.18,0.0,19.6,0.81,64.41,1.81,49.51845363938387,550.2,1282.5,30800,11.94,0.0,25.689267886009837,3.94,3.93
Pacífico Sur_2007,1913.07,0.8,32794,0.0,1.2,0.0,19.77,0.82,66.41,2.17875,49.771658109332535,662.24,1175.0,30800,22.13,7.1,25.79344825609579,4.1,3.94
Pacífico Sur_2008,1929.46,0.96,32794,0.0,1.18,7.2,8.74,0.81,68.85,2.17875,49.80294774992449,665.0,1491.0,30800,27.98,13.4,23.557136718216785,4.12,4.1
Pacífico Sur_2009,1944.27,0.96,32824,0.0,1.18,0.0,8.63,0.83,69.05,2.41,49.867315010570834,668.43,1129.5,30800,31.97,4.0,24.97049945260959,4.15,4.12
Pacífico Sur_2010,2038.48,4.87,32683,0.0,1.19,10.600000000000001,9.0,0.91,70.41,2.39,57.94561159770462,698.88,1730.5,30800,33.79,5.6,24.051407104569666,4.37,4.15
Pacífico Sur_2011,2056.89,4.87,32351,40.0,1.19,7.0,7.08,0.92,70.09,2.37,59.216756266988824,699.87,1291.5,30800,34.35,28.599999999999998,24.726030674269985,4.44,4.37
Pacífico Sur_2012,2079.39,4.87,32351,4.3,1.2,17.6,6.3,0.96,70.68,2.39,59.75089096949562,808.24,1161.0,30800,44.92,22.799999999999997,24.952083333333334,4.66,4.44
Pacífico Sur_2013,2080.13,4.96,32351,5.0,1.19,50.9,6.78,1.18,70.86,2.2,60.23898520084567,811.03,1254.5,30800,44.71,34.7,25.219705803582237,4.67,4.66
Pacífico Sur_2014,2131.51,5.25,30565,2.1,1.18,47.900000000000006,6.8,1.2,71.08,2.29,60.69263666565992,823.2,1205.0,28629,38.59,13.100000000000001,24.9,5.04,4.67
Pacífico Sur_2015,2157.71,5.45,30565,3.5,1.18,14.100000000000001,6.89,1.2,71.01,2.31,61.124651162790684,832.77,1002.5,28629,34.02,7.9,25.6,5.09,5.04
Pacífico Sur_2016,2184.27,5.48,30836,7.4,1.19,22.9,7.21,1.22,72.3,2.19,61.5240229537904,835.29,989.5,28900,33.77,10.2,25.325,5.09,5.09
Pacífico Sur_2017,2198.04,5.97,30836,8.5,1.19,23.099999999999998,7.22,1.25,74.08,2.12,61.912570220477186,836.08,1301.0,28900,34.18,9.8,24.804166666666667,5.12,5.09
Pacífico Sur_2018,2211.65,5.97,30836,6.300000000000001,1.2,24.700000000000003,7.21,1.27,76.54,2.17875,62.26440350347327,836.32,1188.0,28900,34.38,2.5,24.549999999999997,5.15,5.12
Pacífico Sur_2019,2420.67,6.17,30836,10.0,1.3,21.299999999999997,7.25,2.33,75.97,2.17875,62.59921473874962,836.58,1095.5,28900,34.43,4.5,24.85,5.49,5.15
